Country,Rank,Download_Speed_MBPS,Upload_Speed_Mbps,Download_Tests,Upload_Tests,No_IPs
Afghanistan,179,0.34,0.23,59,77,51
Albania,80,6.27,2.22,528,856,582
Algeria,143,1.42,0.56,5007,5322,3824
American Samoa,91,4.85,2,12,16,11
Andorra,9,76.67,56.2,159,176,33
Angola,147,1.27,1.16,241,279,144
Antigua and Barbuda,55,12.7,22.13,30,33,15
Argentina,134,1.7,0.78,23690,26451,10732
Armenia,142,1.46,0.88,111,168,122
Australia,22,32.26,10.69,95073,99997,30367
Austria,24,31.7,9.43,19126,18000,5139
Azerbaijan,144,1.37,0.6,1355,1599,1097
Bahamas,32,25.07,6.86,372,363,111
Bahrain,23,32.05,17.64,533,463,273
Bangladesh,163,0.86,2.65,23702,27739,8293
Barbados,19,34.98,17.07,352,420,110
Belarus,96,4.37,2.7,1340,1628,827
Belgium,16,41.68,12.47,42931,43810,6537
Belize,42,18.08,12.95,227,248,112
Benin,172,0.65,0.86,84,104,77
Bermuda,10,74.21,19.27,589,631,46
Bhutan,149,1.22,2.47,10,9,5
Bolivia,94,4.6,3.71,7754,8269,4084
Bosnia and Herzegovina,72,8.03,1.5,937,1219,840
Botswana,170,0.66,0.96,189,219,138
Brazil,92,4.8,3.92,265193,282153,159684
Brunei,62,10.69,3.04,216,259,178
Bulgaria,41,18.86,12.39,1534,1479,478
Burkina Faso,112,2.8,1.02,95,116,69
Burundi,184,0.23,0.21,9,12,9
Cabo Verde,65,9.03,1.36,17,19,16
Cambodia,146,1.29,7.3,473,549,384
Cameroon,93,4.67,2.84,128,189,104
Canada,33,23.66,8.82,142597,144837,30905
Chad,155,1.09,0.97,22,26,21
Chile,81,6.24,4.21,3536,5075,2419
China,187,0.13,4.87,705,769,198
Colombia,107,3.38,1.78,38424,40391,19828
Comoros,171,0.65,0.26,5,5,4
Congo,168,0.73,0.51,47,58,55
Congo Republic,177,0.39,1.88,19,21,14
Costa Rica,71,8.04,2.3,3819,3991,1967
Croatia,63,10.34,3.06,1703,2015,944
Cuba,122,2.01,0.2,2,2,2
Cyprus,54,12.92,4.97,1779,1856,541
Czechia,40,19.04,6.63,20694,29905,2635
Denmark,3,107.78,66.02,21495,22217,912
Djibouti,166,0.75,0.26,19,30,21
Dominica,83,5.68,8,9,12,9
Dominican Republic,110,2.92,0.88,5106,5318,3526
East Timor,178,0.36,0.62,7,8,9
Ecuador,105,3.57,3.98,22487,22953,11416
Egypt,88,4.89,0.73,21838,23380,18998
El Salvador,86,4.93,1.27,4585,4455,1970
Equatorial Guinea,159,1.01,1.13,10,11,9
Eritrea,190,0.05,0.17,1,3,2
Estonia,46,16.83,22.75,694,754,145
Eswatini,109,2.93,0.97,83,93,57
Ethiopia,183,0.27,0.55,1346,1605,967
Fiji,140,1.5,0.67,69,69,25
Finland,8,79.4,18.39,9487,10395,526
France,58,12.1,2.89,46524,52697,18786
French Polynesia,126,1.92,0.48,163,168,105
Gabon,148,1.23,0.98,136,173,117
Gambia,182,0.29,0.54,16,15,15
Georgia,68,8.1,7.16,193,230,169
Germany,18,37.5,9.78,144229,142519,56429
Ghana,153,1.14,1.1,638,732,447
Greece,60,10.88,1.5,7335,7652,2881
Greenland,36,21.43,85.61,59,62,10
Grenada,75,7.47,2.11,82,87,20
Guatemala,100,3.78,1.76,8885,8766,2799
Guinea,186,0.21,0.76,30,37,22
Guinea-Bissau,192,0.01,1.53,1,1,1
Guyana,133,1.71,0.81,563,632,347
Haiti,136,1.62,1.86,113,138,81
Honduras,115,2.64,2.17,3510,3661,1789
Hong Kong,2,112.32,91.4,4782,5589,933
Hungary,17,39.85,15.35,3512,3439,903
Iceland,7,80.19,24.3,314,435,55
India,99,4.09,2.69,414725,399945,227100
Indonesia,127,1.88,1.82,91028,93531,54667
Iran,113,2.74,0.6,6,7,7
Iraq,108,3.19,2.63,7801,8160,5384
Ireland,37,21.27,10.47,21742,20990,7491
Israel,38,20.19,3.13,4257,4636,833
Italy,51,14.17,6.26,95366,93685,34834
Ivory Coast,188,0.13,0.19,164,217,142
Jamaica,82,5.94,1.88,733,808,450
Japan,25,31.23,44.6,83445,82208,38954
Jordan,90,4.86,1.25,1291,1407,997
Kazakhstan,139,1.52,1.37,632,945,725
Kenya,120,2.1,1.97,9199,9110,3243
Kuwait,106,3.48,1.26,868,1574,526
Kyrgyzstan,118,2.24,1.04,138,184,139
Laos,123,1.99,1.93,47,57,43
Latvia,34,23.28,18.39,519,1098,185
Lebanon,167,0.74,0.92,1778,2556,1305
Lesotho,52,14.09,4.62,14,13,7
Liberia,98,4.23,2.7,18,30,10
Libya,165,0.75,0.63,592,691,452
Liechtenstein,1,199.28,39.78,96,98,10
Luxembourg,21,34.12,10.45,298,305,72
Macedonia,77,7.17,0.88,235,318,242
Malawi,176,0.41,0.71,5,9,9
Malaysia,61,10.82,10.96,4279,4994,2617
Maldives,173,0.55,0.81,242,310,116
Mali,154,1.34,1.25,93,124,97
Malta,67,8.54,9.58,480,485,119
