,Rank,Country,Download Speed (Mbps),Upload Speed (Mbps),# Download Tests,# Upload Tests,No. IPs
0,1,Liechtenstein,199.28,39.78,96,98,10
1,2,Hong Kong,112.32,91.4,4782,5589,933
2,3,Denmark,107.78,66.02,21495,22217,912
3,4,Switzerland,93.6,41.44,65614,74350,1907
4,5,Netherlands,93.48,27.58,89478,93970,9044
5,6,Sweden,91.36,86.04,20812,23875,2071
6,7,Iceland,80.19,24.3,314,435,55
7,8,Finland,79.4,18.39,9487,10395,526
8,9,Andorra,76.67,56.2,159,176,33
9,10,Bermuda,74.21,19.27,589,631,46
10,11,San Marino,61.89,9.76,4,3,3
11,12,Norway,58.95,49.73,13841,14298,2083
12,13,United States,54.99,10.45,1972335,2126398,364898
13,14,New Zealand,52.86,19.85,21053,21533,3518
14,15,South Korea,44.42,41.96,5215,5393,413
15,16,Belgium,41.68,12.47,42931,43810,6537
16,17,Hungary,39.85,15.35,3512,3439,903
17,18,Germany,37.5,9.78,144229,142519,56429
18,19,Barbados,34.98,17.07,352,420,110
19,20,Saint Pierre and Miquelon,34.4,4.48,13,10,1
20,21,Luxembourg,34.12,10.45,298,305,72
21,22,Australia,32.26,10.69,95073,99997,30367
22,23,Bahrain,32.05,17.64,533,463,273
23,24,Austria,31.7,9.43,19126,18000,5139
24,25,Japan,31.23,44.6,83445,82208,38954
25,26,Taiwan,30.58,18.14,9999,19865,753
26,27,Romania,28.55,25.62,2418,2682,989
27,28,United Kingdom,28.51,8.87,296494,316680,65332
28,29,Spain,28.5,25.92,76757,82229,29253
29,30,Republic of Lithuania,27.47,16.99,782,721,232
30,31,Poland,25.77,10.06,6022,6468,1608
31,32,Bahamas,25.07,6.86,372,363,111
32,33,Canada,23.66,8.82,142597,144837,30905
33,34,Latvia,23.28,18.39,519,1098,185
34,35,Saint Lucia,21.44,5.55,44,46,37
35,36,Greenland,21.43,85.61,59,62,10
36,37,Ireland,21.27,10.47,21742,20990,7491
37,38,Israel,20.19,3.13,4257,4636,833
38,39,Slovakia,19.95,9.55,2443,2574,493
39,40,Czechia,19.04,6.63,20694,29905,2635
40,41,Bulgaria,18.86,12.39,1534,1479,478
41,42,Belize,18.08,12.95,227,248,112
42,43,Papua New Guinea,17.61,1.57,11,11,11
43,44,Portugal,17.27,10.46,13317,14626,6238
44,45,New Caledonia,17.07,10.6,111,146,39
45,46,Estonia,16.83,22.75,694,754,145
46,47,Vietnam,16.39,19.21,8144,8716,6118
47,48,Serbia,15.21,4.42,6155,6230,3940
48,49,Thailand,14.9,15.01,14186,16359,10329
49,50,Qatar,14.27,8.83,848,1639,759
50,51,Italy,14.17,6.26,95366,93685,34834
51,52,Lesotho,14.09,4.62,14,13,7
52,53,U.S. Virgin Islands,13.86,4.9,152,142,43
53,54,Cyprus,12.92,4.97,1779,1856,541
54,55,Antigua and Barbuda,12.7,22.13,30,33,15
55,56,Trinidad and Tobago,12.28,7.02,500,600,267
56,57,Slovenia,12.21,8.98,971,977,258
57,58,France,12.1,2.89,46524,52697,18786
58,59,Ukraine,11.21,11.59,5070,5783,3026
59,60,Greece,10.88,1.5,7335,7652,2881
60,61,Malaysia,10.82,10.96,4279,4994,2617
61,62,Brunei,10.69,3.04,216,259,178
62,63,Croatia,10.34,3.06,1703,2015,944
63,64,Saint Vincent and the Grenadines,9.35,4.35,42,49,24
64,65,Cabo Verde,9.03,1.36,17,19,16
65,66,Republic of Moldova,8.9,7.14,508,609,338
66,67,Malta,8.54,9.58,480,485,119
67,68,Georgia,8.1,7.16,193,230,169
68,69,Russia,8.06,8.83,18427,22181,9176
69,70,Uruguay,8.05,6.91,1002,1114,852
70,71,Costa Rica,8.04,2.3,3819,3991,1967
71,72,Bosnia and Herzegovina,8.03,1.5,937,1219,840
72,73,Panama,7.69,5.07,2232,2706,904
73,74,Mexico,7.55,1.9,102970,104889,47864
74,75,Grenada,7.47,2.11,82,87,20
75,76,Montenegro,7.22,2.93,309,426,278
76,77,North Macedonia,7.17,0.88,235,318,242
77,78,Solomon Islands,7.09,3.61,7,7,6
78,79,United Arab Emirates,6.76,6.01,3808,6077,2716
