country,PopMale,PopFemale,PopTotal
Afghanistan,22173,20718,42891
Africa,653697,651723,1305420
Albania,1679,1702,3380
Algeria,20812,20432,41244
American Samoa,,,82
Andorra,,,101
Angola,12552,12733,25285
Anguilla,,,18
Antigua and Barbuda,,,100
Argentina,21982,22907,44889
Armenia,1510,1716,3226
Aruba,54,59,113
Asia,2388247,2285561,4673808
Australia,12902,12869,25770
Australia/New Zealand,15331,15363,30693
Austria,4267,4422,8689
Azerbaijan,5233,5255,10488
Bahamas,192,200,392
Bahrain,939,600,1539
Bangladesh,86754,84944,171698
Barbados,141,144,285
Belarus,4423,5077,9500
Belgium,5512,5703,11215
Belize,191,196,387
Benin,5826,5927,11753
Bermuda,,,67
Bhutan,447,403,850
Bolivia (Plurinational State of),5933,5930,11862
Bosnia and Herzegovina,1795,1935,3730
Botswana,1156,1109,2265
Brazil,105969,109742,215711
British Virgin Islands,,,26
Brunei Darussalam,240,238,478
Bulgaria,3445,3698,7143
Burkina Faso,11264,11301,22565
Burundi,5068,5212,10280
Cabo Verde,280,279,559
Cambodia,8044,8267,16312
Cameroon,12315,12325,24640
Canada,18908,19017,37925
Caribbean,22506,22852,45358
Cayman Islands,,,62
Central African Republic,2689,2766,5455
Central America,89266,91539,180804
Central Asia,34350,35528,69878
Chad,7338,7403,14741
Channel Islands,78,81,159
Chile,9375,9601,18975
China,737178,682583,1419761
"China, Hong Kong SAR",3787,4195,7982
"China, Macao SAR",325,345,671
Colombia,26265,27202,53467
Comoros,480,472,952
Congo,2557,2551,5108
Cook Islands,,,22
Costa Rica,2739,2666,5405
Croatia,2125,2276,4401
Cuba,5728,5678,11406
Cyprus,636,611,1247
Czech Republic,5408,5571,10979
Dem. People's Republic of Korea,12768,13164,25931
Democratic Republic of the Congo,43123,43592,86716
Denmark,2905,2941,5845
Djibouti,545,544,1090
Dominica,,,70
Dominican Republic,5708,5692,11400
Eastern Africa,213152,214308,427460
Eastern Asia,854667,804755,1659422
Eastern Europe,139035,156857,295891
Ecuador,8377,8382,16759
Egypt,48775,48383,97158
El Salvador,3212,3588,6799
Equatorial Guinea,471,451,922
Eritrea,3469,3531,7000
Estonia,632,727,1359
Ethiopia,51441,51882,103324
Europe,367955,391965,759920
Faeroe Islands,,,52
Falkland Islands (Malvinas),,,3
Fiji,480,465,945
Finland,2778,2854,5632
France,32860,34298,67158
French Guiana,151,151,302
French Polynesia,155,150,306
Gabon,936,926,1862
Gambia,1129,1161,2290
Georgia,1969,2206,4175
Germany,40592,41941,82533
Ghana,15757,15219,30975
Gibraltar,,,30
Greece,5863,5935,11799
Greenland,,,58
Grenada,56,55,111
Guadeloupe,229,260,489
Guam,105,102,206
Guatemala,9204,9612,18816
Guinea,6584,6434,13018
Guinea-Bissau,942,958,1900
Guyana,397,395,793
Haiti,5749,5833,11582
Holy See,,,0
Honduras,4715,4695,9410
Hungary,4792,5251,10043
Iceland,184,181,365
India,731150,689193,1420342
Indonesia,134035,135113,269148
Iran (Islamic Republic of),41984,41449,83433
Iraq,21994,21584,43578
Ireland,2547,2530,5077
Isle of Man,,,88
Israel,4388,4458,8846
Italy,30792,31643,62435
Jamaica,1429,1470,2899
Japan,61718,65382,127100
Jordan,3871,3675,7546
Kazakhstan,8723,9387,18110
Kenya,26837,26856,53693
Kiribati,,,119
Kuwait,2037,1431,3469
Kyrgyzstan,3046,3125,6172
Lao People's Democratic Republic,3619,3610,7229
Latin America and the Caribbean,329931,338319,668251
Latvia,1031,1188,2219
Least developed countries,529449,528653,1058102
Lebanon,2262,2369,4632
Lesotho,1230,1227,2458
Liberia,2659,2610,5269
Libya,3542,3728,7270
Liechtenstein,,,40
Lithuania,1520,1746,3265
Luxembourg,294,294,589
Madagascar,13948,14010,27958
Malawi,10599,10474,21072
